epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,4505.92,0.52376,0.2921,0.88495,0.98165,0.99745,0.99296,0.88171,0.50983,0.25558,0.89007,0.0008252,0.0008252,0.0008252
91,4555.74,0.53623,0.29184,0.88531,0.98487,0.99745,0.98762,0.86249,0.51414,0.2656,0.88968,0.000812,0.000812,0.000812
92,4604.49,0.54598,0.28877,0.895,0.98988,0.9978,0.9949,0.87796,0.52313,0.25864,0.88183,0.0007988,0.0007988,0.0007988
93,4653.78,0.53981,0.2887,0.89169,0.98487,0.99634,0.99415,0.88356,0.50043,0.24349,0.88097,0.0007856,0.0007856,0.0007856
94,4703.01,0.53216,0.28959,0.89663,0.97706,1,0.99452,0.88252,0.5064,0.26047,0.87674,0.0007724,0.0007724,0.0007724
95,4752.35,0.52893,0.2857,0.88684,0.97753,0.99884,0.9878,0.86581,0.51342,0.26732,0.88282,0.0007592,0.0007592,0.0007592
96,4801.09,0.5405,0.28919,0.8874,0.97786,1,0.9912,0.86028,0.51735,0.25878,0.88316,0.000746,0.000746,0.000746
97,4850.31,0.53397,0.28798,0.88356,0.98682,1,0.98914,0.86677,0.50246,0.2312,0.88632,0.0007328,0.0007328,0.0007328
98,4899.23,0.51442,0.27819,0.88,0.98826,0.99745,0.995,0.88211,0.50629,0.23797,0.88131,0.0007196,0.0007196,0.0007196
99,4948.44,0.50956,0.27554,0.88351,0.98237,0.99529,0.98935,0.8699,0.5032,0.24013,0.88981,0.0007064,0.0007064,0.0007064
100,4997.16,0.52055,0.28019,0.88236,0.9833,1,0.99088,0.86369,0.50347,0.23745,0.89324,0.0006932,0.0006932,0.0006932
101,5046.38,0.51496,0.28299,0.88462,0.97583,1,0.98122,0.85578,0.50731,0.25677,0.88319,0.00068,0.00068,0.00068
102,5095.49,0.51799,0.27932,0.88179,0.97469,1,0.98837,0.86738,0.492,0.25226,0.87103,0.0006668,0.0006668,0.0006668
